Question;Possible_Answers;Correct_Answer
Que recompensent chaque annee les Darwin Awards, crees aux Etats-Unis en 1993 ?;façons mourir idiotes,insolites decouvertes scientifiques,meilleures varietes pommes;façons mourir idiotes
Quel acte de la vie courante occupe environ 6 mois de notre vie ?;Attendre au feu rouge,passer le balai,regarder la tele;Attendre au feu rouge
Quel est le point commun entre Albert Einstein, Gustave Flaubert et Steven Spielberg ?;Un QI sup à 135,Leur religion: juive,La dyslexie;La dyslexie
Quel goût / dégoût à une cause génétique ?;La coriandre,L'anis,L'espadon;La coriandre
Combien font 10 + 10 ?;10,20,dix,vingt;20,vingt
Quel animal est la drosophile, utilisee dans des experimentations genetiques ?;Un rat,une mouche;une mouche
Certaines personnes sont nées en 2002 à ESTIATech, qui ?;Marta,Lina,Theo;Marta,Theo
En solfege, comment appelle t on le silence qui dure un temps ?;Un soupir,Une pause,Un silence,Un souffle;Un soupir
Que signifiait à l’origine l’expression «se mettre à table» ?;Partager la part d'un butin,commanditer un meurtre,avouer qqch qu'on cachait;avouer qqch qu'on cachait
Dans quelle partie du corps se trouve le sternum ?;la cage thoracique,la tete,le cou,le bas ventre;la cage thoracique
Quel pays du monde a ete cree le plus recemment ?;Soudan du Sud,Erythree,Montenegro;Soudan du Sud
On dit qu'un taureau ?;beguete,barete,beugle,clabaude;beugle
Lors du Tour de France cycliste, qui est récompensé d’un maillot blanc à pois rouges ?;best jeune coureur,le meilleur sprinteur,le meilleur grimpeur;le meilleur grimpeur
Dans quel sport emploie-t-on les termes suivants : split, spare, strike ?;a la petanque,au billard,au bowling;au bowling
Quel club de rugby détient le record de championnats de France ?;Stade de France, Stade toulousain,AS Béziers;Stade toulousain
Quand les Français «content fleurette» , les canadiens ?;mangent du chocolat,chantent la pomme,cueillent l'abricot;chantent la pomme
L'alsacien Sebastien Loeb détient le record du nombre de titres de champion du monde de rallye avec ?;7 litres,8 Litres,9 litres;9 litres
Quel rugbyman détient le record mondial du nombre d'essais marqués en sélection nationale ?;Daisasuke Ohata,Bryan Habana;Bryan Habana
Quels sont les procédés d’impression qui existent ?;La serigraphie,l'offset,l'heliogravure,le demi;La serigraphie,l'offset,l'heliogravure
A quel organe correspond le corail dans la coquille Saint-Jacques ?;Le rein,le cœur,l'appareil genital;l'appareil genital
Les camions à pizza sont apparus à Marseille au début des années 1960. Jusqu'à cette date, en Italie, il n'était pas très bien vu de manger des pizzas, car elles :;etaient un plat de pauvre,etaient decorees avec des motifs grivois,remplacaient les pates, etaient prescrites en cas de depression;etaient un plat de pauvre
En 1953, le psychologue anglais Colin Cherry montre que les personnes concentrées sur une tâche filtrent les stimuli extérieurs mais réagissent toujours à :;mot connotation sexuelle,un bruit d'accident,appel prenom, leur tube prefere;mot connotation sexuel,appel prenom
A l’échelle de la planète, quel est le pourcentage de personnes aux yeux bleus ?;10%,20%,30%,40%;10%
Pour quelle raison, le personnage du Petit Prince souhaite-t-il qu’on lui dessine un mouton ?;les compter et dormir,manger mauvaises graines,avoir un ami;pour manger les mauvaises graines
"Quelle est la bonne abréviation du mot ""messieurs"" en français ?";Mr.,Mrs.,MM.,Me.;MM.
Quel jour, vient trois jours après le jour, qui vient deux jours après le jour, qui vient immédiatement après le jour, qui vient deux jours après lundi ?;Mardi,Mercredi,Jeudi,Vendredi;Mardi
Quelle planète du système solaire possède le plus de satellites naturels en orbite ?;Jupiter,Venus,Saturne,Mercure;Saturne
Lequel de ces films Pixar n'existe pas ?;Vice-Versa,La-haut,En avant,Ici et Maintenant;Ici et Maintenant
Quel est le prénom du garçon à qui appartiennent les jouets dans Toy Story ?;Louis,Bobby,Andy,Matt;Andy
Quel est le nom du rat star du film Ratatouille ?;Remi,Emile,Alfredo,Auguste;Remi
